display_name,round,first_name,last_name,player_name
PEDBreakfast,2,Austin,Ekeler,austin ekeler
PEDBreakfast,3,Melvin,Gordon III,melvin gordon iii
PEDBreakfast,7,Ronald,Jones II,ronald jones ii
PEDBreakfast,9,Diontae,Johnson,diontae johnson
poopony,1,Ezekiel,Elliott,ezekiel elliott
poopony,2,Kenny,Golladay,kenny golladay
poopony,4,Robert,Woods,robert woods
poopony,5,Terry,McLaurin,terry mclaurin
poopony,6,Kareem,Hunt,kareem hunt
poopony,7,Darren,Waller,darren waller
poopony,8,Josh,Allen,josh allen
poopony,9,Tyler,Boyd,tyler boyd
poopony,11,Lamar,Jackson,lamar jackson
RustyTrombone,1,Alvin,Kamara,alvin kamara
RustyTrombone,2,Davante,Adams,davante adams
RustyTrombone,4,Raheem,Mostert,raheem mostert
RustyTrombone,5,Stefon,Diggs,stefon diggs
RustyTrombone,9,Jarvis,Landry,jarvis landry
RustyTrombone,13,Cam,Newton,cam newton
CanadianClem,1,Travis,Kelce,travis kelce
CanadianClem,2,Nick,Chubb,nick chubb
CanadianClem,3,Allen,Robinson II,allen robinson ii
CanadianClem,4,Aaron,Jones,aaron jones
CanadianClem,7,J.K.,Dobbins,j.k. dobbins
KuroTheDrunk,1,Josh,Jacobs,josh jacobs
KuroTheDrunk,2,Tyreek,Hill,tyreek hill
KuroTheDrunk,3,David,Johnson,david johnson
KuroTheDrunk,5,David,Montgomery,david montgomery
KuroTheDrunk,6,Marquise,Brown,marquise brown
KuroTheDrunk,7,Evan,Engram,evan engram
KuroTheDrunk,9,Julian,Edelman,julian edelman
KuroTheDrunk,11,Aaron,Rodgers,aaron rodgers
KuroTheDrunk,16,Boston,Scott,boston scott
GrindageWizard,1,Derrick,Henry,derrick henry
GrindageWizard,2,James,Conner,james conner
GrindageWizard,3,Todd,Gurley II,todd gurley ii
GrindageWizard,4,D.J.,Moore,d.j. moore
GrindageWizard,5,Chris,Godwin,chris godwin
GrindageWizard,6,Kyler,Murray,kyler murray
GrindageWizard,13,Christian,Kirk,christian kirk
Gym_Tan_Landry,1,Clyde,Edwards-Helaire,clyde edwards-helaire
Gym_Tan_Landry,2,Julio,Jones,julio jones
Gym_Tan_Landry,3,Jonathan,Taylor,jonathan taylor
Gym_Tan_Landry,4,Mark,Andrews,mark andrews
Gym_Tan_Landry,6,Keenan,Allen,keenan allen
Gym_Tan_Landry,9,CeeDee,Lamb,ceedee lamb
Gym_Tan_Landry,10,Patrick,Mahomes,patrick mahomes
Gym_Tan_Landry,11,Henry,Ruggs III,henry ruggs iii
Gym_Tan_Landry,12,Baltimore,Ravens,baltimore ravens
Natticus,2,DeAndre,Hopkins,deandre hopkins
Natticus,5,DK,Metcalf,dk metcalf
Natticus,6,Rob,Gronkowski,rob gronkowski
Natticus,7,Miles,Sanders,miles sanders
Natticus,8,Brandin,Cooks,brandin cooks
Natticus,9,Drew,Brees,drew brees
Bulleit,1,Christian,McCaffrey,christian mccaffrey
Bulleit,2,Mike,Evans,mike evans
Bulleit,3,Adam,Thielen,adam thielen
Bulleit,4,Cooper,Kupp,cooper kupp
Bulleit,6,D'Andre,Swift,d'andre swift
Bulleit,7,Deshaun,Watson,deshaun watson
Bulleit,9,Kenyan,Drake,kenyan drake
drueoystercult,1,Joe,Mixon,joe mixon
drueoystercult,2,Dalvin,Cook,dalvin cook
drueoystercult,3,JuJu,Smith-Schuster,juju smith-schuster
drueoystercult,4,Amari,Cooper,amari cooper
drueoystercult,5,Devin,Singletary,devin singletary
drueoystercult,7,Antonio,Gibson,antonio gibson
drueoystercult,8,DeVante,Parker,devante parker
drueoystercult,9,Tom,Brady,tom brady
